# --------------------------------------------------
# Version: 1.0
# Last update: (2015/10/23)
# Authors: Iñaki San Vicente (i.sanvicente@elhuyar.com), Xabier Saralegi (x.saralegi@elhuyar.com)
#          Elhuyar Foundation, R&D department. 
# --------------------------------------------------
# 
# This is an Out Of Vocabulary (OOV) word list use by EliXa to normalize slang and commonly used abbreviations in french
#    + French: 279 OOV-Standard_form combinations.
#
# The format of the dictionaries consist of "OOVword \t standardForm" and they are used for text normalization. 
#
#
#
# ==============================
#  LICENSE
# ==============================
#
# Copyright 2016 Elhuyar Fundazioa
#
# This file is part of EliXa.
#
#    EliXa is free software: you can redistribute it and/or modify
#    it under the terms of the GNU General Public License as published by
#    the Free Software Foundation, either version 3 of the License, or
#    (at your option) any later version.
#
#    EliXa is distributed in the hope that it will be useful,
#    but WITHOUT ANY WARRANTY; without even the implied warranty of
#    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
#    GNU General Public License for more details.
#
#    You should have received a copy of the GNU General Public License
#    along with EliXa.  If not, see <http://www.gnu.org/licenses/>.
#



b1	bien
b1sur	Bien_sûr
bcp	Beaucoup
bjr	Bonjour
bsr	Bonsoir
slt	Salut
c	C’est
c-a-d	C’est-à-dire
c_cho	c'est_chaud
dac	d'accord
dsl	Désolé
DQP	Dès_que_possible
g	J’ai
jms	Jamais
jtm	Je_t’aime
kan	quand
qd	quand
kom	comme
ke	que
koid9	Quoi_de_neuf?
mr6	merci
ok1	Aucun
qqn	Quelqu’un
RAS	Rien_à_signaler
re	rebonjour
tjs	Toujours
tt	Tout
v1	Viens
X_mo	Crois-moi
ya	Il_y_a
tlm	Tout_le_monde
pkoi	Pourquoi
pk	Pourquoi
stp	s'il_te_plaît
stp	s'il_vous_plaît
mdr	Mort_de_rire
lol	Mort_de_rire
ptdr	pété_de_rire
gg	good_game
t1kiet	t'inquiètes
t'es	tu_es
chui	Je_suis
MSG	message
PK	pourquoi?
QQC	quelque_chose
QQ1	quelqu’un
BZ	bisous
cb	combien
cmb	comme_ma_bite
cmfubj	ça_me_fait_une_belle_jambe
ctb	comme_ta_bite
déso	désolé
dézo	désolé
dsl	désolé
DTC	dans_ton_cul
dtc	dans_ton_cul
MAJ	mise_à_jour
màj	mise_à_jour
mdr	mort_de_rire
OKLM	Au_calme
oklm	Au_calme
pg	pas_grave
pj	pièce_jointe
pk	pourquoi
pkoi	pourquoi
pq	pourquoi
rpz	représente
sjmsb	si_je_me_souviens_bien
sjnma	si_je_ne_m'abuse
stp	s'il_te_plaît
